sample_id,dataset,class_id,class_name,split,session_id,true_signer_id,feature_path,num_frames,file_size_bytes
iso_hello_025,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_025.npz,39,158961
iso_hello_026,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_026.npz,40,163043
iso_hello_027,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_027.npz,41,167052
iso_hello_028,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_028.npz,42,171176
iso_thank_you_001,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_001.npz,35,142875
iso_thank_you_002,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_002.npz,36,146916
iso_thank_you_003,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_003.npz,37,150945
iso_thank_you_004,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_004.npz,38,155064
iso_thank_you_005,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_005.npz,39,159054
iso_thank_you_006,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_006.npz,40,163136
iso_thank_you_007,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_thank_you_007.npz,41,167016
iso_thank_you_008,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_thank_you_008.npz,42,171100
iso_thank_you_009,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_009.npz,43,175221
iso_thank_you_010,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_010.npz,44,179249
iso_thank_you_011,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_011.npz,45,183215
iso_thank_you_012,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_012.npz,46,187245
iso_thank_you_013,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_013.npz,47,191282
iso_thank_you_014,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_014.npz,48,195376
iso_thank_you_015,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_thank_you_015.npz,49,199419
iso_thank_you_016,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_thank_you_016.npz,50,203403
iso_thank_you_017,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_017.npz,51,207395
iso_thank_you_018,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_018.npz,52,211635
iso_thank_you_019,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_019.npz,53,215554
iso_thank_you_020,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_020.npz,54,219560
iso_thank_you_021,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_021.npz,35,142919
iso_thank_you_022,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_022.npz,36,146858
iso_thank_you_023,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_thank_you_023.npz,37,151006
iso_thank_you_024,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_thank_you_024.npz,38,155007
iso_thank_you_025,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_025.npz,39,159030
iso_thank_you_026,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_026.npz,40,163081
iso_thank_you_027,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_027.npz,41,167121
iso_thank_you_028,SIGNOVA_ISOLATED_BENCHMARK,1,THANK_YOU,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_thank_you_028.npz,42,171198
iso_please_001,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_001.npz,35,143139
iso_please_002,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_002.npz,36,147209
iso_please_003,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_003.npz,37,151149
iso_please_004,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_004.npz,38,155401
iso_please_005,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_005.npz,39,159362
iso_please_006,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_006.npz,40,163311
iso_please_007,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_please_007.npz,41,167456
iso_please_008,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_please_008.npz,42,171441
iso_please_009,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_009.npz,43,175509
iso_please_010,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_010.npz,44,179541
iso_please_011,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_011.npz,45,183515
iso_please_012,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_012.npz,46,187481
iso_please_013,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_013.npz,47,191595
iso_please_014,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_014.npz,48,195694
iso_please_015,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_please_015.npz,49,199760
iso_please_016,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_please_016.npz,50,203723
iso_please_017,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_017.npz,51,207840
iso_please_018,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_018.npz,52,211964
iso_please_019,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_019.npz,53,215895
iso_please_020,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_020.npz,54,219972
iso_please_021,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_021.npz,35,143161
iso_please_022,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_022.npz,36,147085
iso_please_023,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_please_023.npz,37,151261
iso_please_024,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_please_024.npz,38,155324
iso_please_025,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_025.npz,39,159268
iso_please_026,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_026.npz,40,163300
iso_please_027,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_027.npz,41,167413
iso_please_028,SIGNOVA_ISOLATED_BENCHMARK,2,PLEASE,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_please_028.npz,42,171491
iso_yes_001,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_001.npz,35,143233
iso_yes_002,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_002.npz,36,147270
iso_yes_003,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_003.npz,37,151294
iso_yes_004,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_004.npz,38,155423
iso_yes_005,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_005.npz,39,159267
iso_yes_006,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_006.npz,40,163488
iso_yes_007,SIGNOVA_ISOLATED_BENCHMARK,3,YES,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_yes_007.npz,41,167379
iso_yes_008,SIGNOVA_ISOLATED_BENCHMARK,3,YES,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_yes_008.npz,42,171511
iso_yes_009,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_009.npz,43,175535
iso_yes_010,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_010.npz,44,179691
iso_yes_011,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_011.npz,45,183622
iso_yes_012,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_012.npz,46,187705
iso_yes_013,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_013.npz,47,191664
iso_yes_014,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_014.npz,48,195713
iso_yes_015,SIGNOVA_ISOLATED_BENCHMARK,3,YES,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_yes_015.npz,49,199900
iso_yes_016,SIGNOVA_ISOLATED_BENCHMARK,3,YES,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_yes_016.npz,50,203846
iso_yes_017,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_017.npz,51,207905
iso_yes_018,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_018.npz,52,212021
iso_yes_019,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_019.npz,53,216065
iso_yes_020,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_020.npz,54,219977
iso_yes_021,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_021.npz,35,143209
iso_yes_022,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_022.npz,36,147262
iso_yes_023,SIGNOVA_ISOLATED_BENCHMARK,3,YES,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_yes_023.npz,37,151226
iso_yes_024,SIGNOVA_ISOLATED_BENCHMARK,3,YES,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_yes_024.npz,38,155438
iso_yes_025,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_025.npz,39,159435
iso_yes_026,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_026.npz,40,163415
iso_yes_027,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_027.npz,41,167488
iso_yes_028,SIGNOVA_ISOLATED_BENCHMARK,3,YES,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_yes_028.npz,42,171500
iso_no_001,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_001.npz,35,143019
iso_no_002,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_002.npz,36,146995
iso_no_003,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_003.npz,37,151080
iso_no_004,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_004.npz,38,155181
iso_no_005,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_005.npz,39,159202
iso_no_006,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_006.npz,40,163175
iso_no_007,SIGNOVA_ISOLATED_BENCHMARK,4,NO,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_no_007.npz,41,167308
iso_no_008,SIGNOVA_ISOLATED_BENCHMARK,4,NO,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_no_008.npz,42,171252
iso_no_009,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_009.npz,43,175390
iso_no_010,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_010.npz,44,179328
iso_no_011,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_011.npz,45,183421
iso_no_012,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_012.npz,46,187484
iso_no_013,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_013.npz,47,191554
iso_no_014,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_014.npz,48,195589
iso_no_015,SIGNOVA_ISOLATED_BENCHMARK,4,NO,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_no_015.npz,49,199557
iso_no_016,SIGNOVA_ISOLATED_BENCHMARK,4,NO,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_no_016.npz,50,203626
iso_no_017,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_017.npz,51,207773
iso_no_018,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_018.npz,52,211761
iso_no_019,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_019.npz,53,215869
iso_no_020,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_020.npz,54,219873
iso_no_021,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_021.npz,35,143091
iso_no_022,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_022.npz,36,147035
iso_no_023,SIGNOVA_ISOLATED_BENCHMARK,4,NO,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_no_023.npz,37,151097
iso_no_024,SIGNOVA_ISOLATED_BENCHMARK,4,NO,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_no_024.npz,38,155159
iso_no_025,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_025.npz,39,159233
iso_no_026,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_026.npz,40,163218
iso_no_027,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_027.npz,41,167263
iso_no_028,SIGNOVA_ISOLATED_BENCHMARK,4,NO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_no_028.npz,42,171283
iso_name_001,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_001.npz,35,142568
iso_name_002,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_002.npz,36,146679
iso_name_003,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_003.npz,37,150592
iso_name_004,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_004.npz,38,154719
iso_name_005,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_005.npz,39,158639
iso_name_006,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_006.npz,40,162846
iso_name_007,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_name_007.npz,41,166727
iso_name_008,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_name_008.npz,42,170784
iso_name_009,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_009.npz,43,174808
iso_name_010,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_010.npz,44,178844
iso_name_011,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_011.npz,45,182877
iso_name_012,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_012.npz,46,186949
iso_name_013,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_013.npz,47,190894
iso_name_014,SIGNOVA_ISOLATED_BENCHMARK,5,NAME,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_name_014.npz,48,195024
