sample_id,dataset,split,video_path,annotation_path,features_path,gloss,translation,signer_id,duration_sec,num_frames,fps,metadata
ee235596b76f-3,ISLTranslate,train,,,,,The mouse and the pencil.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-3""}"
ee235596b76f-4,ISLTranslate,train,,,,,"One day, a little mouse was looking for something to eat.",ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-4""}"
ee235596b76f-6,ISLTranslate,train,,,,,I'm going to bite you. Said the mouse,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-6""}"
ee235596b76f-7,ISLTranslate,train,,,,,Oh you are hurting me! Said the pencil,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-7""}"
ee235596b76f-8,ISLTranslate,train,,,,,Let me draw you one last picture and then you can do what you like.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-8""}"
ee235596b76f-9,ISLTranslate,train,,,,,very well said the mouse,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-9""}"
ee235596b76f-10,ISLTranslate,train,,,,,The pencil drew a big circle.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-10""}"
ee235596b76f-11,ISLTranslate,train,,,,,Is that a cheese? Asked the mouse.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-11""}"
ee235596b76f-12,ISLTranslate,train,,,,,We will call it a cheese!,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-12""}"
ee235596b76f-13,ISLTranslate,train,,,,,said the pencil and it drew three little circles inside the big one.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-13""}"
ee235596b76f-14,ISLTranslate,train,,,,,That's an apple! squeaked the mouse!,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-14""}"
ee235596b76f-16,ISLTranslate,train,,,,,and began drawing some funny curved things near the second circle.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-16""}"
ee235596b76f-17,ISLTranslate,train,,,,,Why those are cucumbers? Set the mouse and leaking his lips.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-17""}"
ee235596b76f-19,ISLTranslate,train,,,,,to get my teeth into them.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-19""}"
ee235596b76f-20,ISLTranslate,train,,,,,The pencil drew two little triangles on the top circle.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-20""}"
ee235596b76f-21,ISLTranslate,train,,,,,A-a-a-a-a-a-a-a-a-a-a-a. Squate the mouse.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-21""}"
ee235596b76f-22,ISLTranslate,train,,,,,Now you have made it like a cat and please don't go please,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-22""}"
ee235596b76f-24,ISLTranslate,train,,,,,But the pencil went on till it had drawn long whiskers and mouth on the tops circel,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-24""}"
ee235596b76f-27,ISLTranslate,train,,,,,"Hey! It's a real cat! Help! Help! Help! Now, see!",ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-27""}"
ee235596b76f-28,ISLTranslate,train,,,,,If you can draw a cat that looks real enough to frighten away the mice.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-28""}"
ee235596b76f-31,ISLTranslate,train,,,,,Describe the cat in your own words.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-31""}"
ee235596b76f-32,ISLTranslate,train,,,,,Here is the space provided.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-32""}"
ee235596b76f-34,ISLTranslate,train,,,,,Let's make!,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-34""}"
ee235596b76f-35,ISLTranslate,train,,,,,A pencil cap,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-35""}"
ee235596b76f-39,ISLTranslate,train,,,,,method,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-39""}"
ee235596b76f-41,ISLTranslate,train,,,,,Hold any one corner of the square between your thumb and pointer finger and roll the chart paper with your other hand in such a way that it takes the shape of a cone.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-41""}"
ee235596b76f-42,ISLTranslate,train,,,,,Apply glue to the outer edge and stick it.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-42""}"
ee235596b76f-43,ISLTranslate,train,,,,,Your pencil cap is ready.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-43""}"
ee235596b76f-45,ISLTranslate,train,,,,,Let's practice!,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-45""}"
ee235596b76f-46,ISLTranslate,train,,,,,Here is a sentence given below. With some dots.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-46""}"
ee235596b76f-47,ISLTranslate,train,,,,,Connect the dots to complete the sentence. A cat?,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-47""}"
ee235596b76f-48,ISLTranslate,train,,,,,on the mat.,ee235596b76f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""ee235596b76f-48""}"
df4bb619957f-1,ISLTranslate,train,,,,,Page 64,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-1""}"
df4bb619957f-2,ISLTranslate,train,,,,,Unit 6,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-2""}"
df4bb619957f-3,ISLTranslate,train,,,,,If I were an apple.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-3""}"
df4bb619957f-4,ISLTranslate,train,,,,,"Learn, recite and enjoy this poem.",df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-4""}"
df4bb619957f-5,ISLTranslate,train,,,,,If I were an apple.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-5""}"
df4bb619957f-7,ISLTranslate,train,,,,,I think I would drop down on a nice boy like me.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-7""}"
df4bb619957f-9,ISLTranslate,train,,,,,I wouldn't stay there giving nobody joy.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-9""}"
df4bb619957f-12,ISLTranslate,train,,,,,Apple Boy,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-12""}"
df4bb619957f-13,ISLTranslate,train,,,,,Eat,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-13""}"
df4bb619957f-14,ISLTranslate,train,,,,,drop,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-14""}"
df4bb619957f-15,ISLTranslate,train,,,,,Joy,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-15""}"
df4bb619957f-16,ISLTranslate,train,,,,,Now let's read.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-16""}"
df4bb619957f-17,ISLTranslate,train,,,,,I like to eat an apple.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-17""}"
df4bb619957f-18,ISLTranslate,train,,,,,We clap our hands with joy.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-18""}"
df4bb619957f-19,ISLTranslate,train,,,,,Page 65,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-19""}"
df4bb619957f-20,ISLTranslate,train,,,,,Reading is fun.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-20""}"
df4bb619957f-21,ISLTranslate,train,,,,,Where is the apple?,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-21""}"
df4bb619957f-22,ISLTranslate,train,,,,,Where is the boy?,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-22""}"
df4bb619957f-23,ISLTranslate,train,,,,,How can the boy get the apple?,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-23""}"
df4bb619957f-24,ISLTranslate,train,,,,,Let's talk!,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-24""}"
df4bb619957f-25,ISLTranslate,train,,,,,Do you like apples!,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-25""}"
df4bb619957f-28,ISLTranslate,train,,,,,Fill in the blanks.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-28""}"
df4bb619957f-29,ISLTranslate,train,,,,,"If I were a bird, I would.",df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-29""}"
df4bb619957f-31,ISLTranslate,train,,,,,Fly?,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-31""}"
df4bb619957f-32,ISLTranslate,train,,,,,or cry.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-32""}"
df4bb619957f-33,ISLTranslate,train,,,,,If I were a Bee,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-33""}"
df4bb619957f-34,ISLTranslate,train,,,,,I would dash. Buzz,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-34""}"
df4bb619957f-35,ISLTranslate,train,,,,,or chirp.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-35""}"
df4bb619957f-36,ISLTranslate,train,,,,,Let's read and write.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-36""}"
df4bb619957f-38,ISLTranslate,train,,,,,T U,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-38""}"
df4bb619957f-39,ISLTranslate,train,,,,,V,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-39""}"
df4bb619957f-40,ISLTranslate,train,,,,,Now connect the dots to write the letters S-T-U-V.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-40""}"
df4bb619957f-41,ISLTranslate,train,,,,,again and again.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-41""}"
df4bb619957f-43,ISLTranslate,train,,,,,Page 66.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-43""}"
df4bb619957f-44,ISLTranslate,train,,,,,Say aloud.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-44""}"
df4bb619957f-45,ISLTranslate,train,,,,,Apple,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-45""}"
df4bb619957f-46,ISLTranslate,train,,,,,Drew,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-46""}"
df4bb619957f-47,ISLTranslate,train,,,,,Dew,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-47""}"
df4bb619957f-48,ISLTranslate,train,,,,,ball people,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-48""}"
df4bb619957f-49,ISLTranslate,train,,,,,Grew,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-49""}"
df4bb619957f-51,ISLTranslate,train,,,,,few,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-51""}"
df4bb619957f-52,ISLTranslate,train,,,,,Call,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-52""}"
df4bb619957f-53,ISLTranslate,train,,,,,Ripple,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-53""}"
df4bb619957f-55,ISLTranslate,train,,,,,Mew,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-55""}"
df4bb619957f-56,ISLTranslate,train,,,,,Fall,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-56""}"
df4bb619957f-57,ISLTranslate,train,,,,,Word fun!,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-57""}"
df4bb619957f-58,ISLTranslate,train,,,,,Fill in the letters to complete the crossword puzzle.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-58""}"
df4bb619957f-59,ISLTranslate,train,,,,,Use the pictures as clues to find the fruit.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-59""}"
df4bb619957f-61,ISLTranslate,train,,,,,You can see a puzzle with pictures of fruits and some rows and columns with letters in it.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-61""}"
df4bb619957f-62,ISLTranslate,train,,,,,The first one,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-62""}"
df4bb619957f-63,ISLTranslate,train,,,,,is a picture of an orange.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-63""}"
df4bb619957f-64,ISLTranslate,train,,,,,You have to fill the spelling of an orange,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-64""}"
df4bb619957f-65,ISLTranslate,train,,,,,in the first column.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-65""}"
df4bb619957f-66,ISLTranslate,train,,,,,"Similarly, you have to do with the second one.",df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-66""}"
df4bb619957f-67,ISLTranslate,train,,,,,which is grapefruit. Write the spelling of grapes in the second row.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-67""}"
df4bb619957f-68,ISLTranslate,train,,,,,Third one is mango.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-68""}"
df4bb619957f-69,ISLTranslate,train,,,,,"In the column, with number 3 on it, you have to write the spelling of a mango.",df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-69""}"
df4bb619957f-70,ISLTranslate,train,,,,,The fourth one is a banana.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-70""}"
df4bb619957f-71,ISLTranslate,train,,,,,The fifth one is Apple.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-71""}"
df4bb619957f-72,ISLTranslate,train,,,,,and 6th one is pear.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-72""}"
df4bb619957f-76,ISLTranslate,train,,,,,in your own language and then in English.,df4bb619957f,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""df4bb619957f-76""}"
7bccd31315d7-1,ISLTranslate,train,,,,,Page 56. Circle,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-1""}"
7bccd31315d7-2,ISLTranslate,train,,,,,"Listen, read.",7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-2""}"
7bccd31315d7-4,ISLTranslate,train,,,,,Mohini was sitting with her grandmother.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-4""}"
7bccd31315d7-6,ISLTranslate,train,,,,,Grandmother drew a circle.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-6""}"
7bccd31315d7-7,ISLTranslate,train,,,,,Can you draw a circle Mohini?,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-7""}"
7bccd31315d7-8,ISLTranslate,train,,,,,"Yes, I can.",7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-8""}"
7bccd31315d7-9,ISLTranslate,train,,,,,and soon Mohini drew a circle.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-9""}"
7bccd31315d7-10,ISLTranslate,train,,,,,Now I will draw a ball!,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-10""}"
7bccd31315d7-11,ISLTranslate,train,,,,,Grandmother drew three lines on the circle.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-11""}"
7bccd31315d7-12,ISLTranslate,train,,,,,Mohini drew three lines on her circle.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-12""}"
7bccd31315d7-14,ISLTranslate,train,,,,,It really looked like a ball.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-14""}"
7bccd31315d7-16,ISLTranslate,train,,,,,Grandmother added a zigzag line to the circle.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-16""}"
7bccd31315d7-18,ISLTranslate,train,,,,,"Oh, it really looks like a balloon. Mohini clapped with joy.",7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-18""}"
7bccd31315d7-19,ISLTranslate,train,,,,,Mohini drew many circles.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-19""}"
7bccd31315d7-20,ISLTranslate,train,,,,,Big and small circles.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-20""}"
7bccd31315d7-21,ISLTranslate,train,,,,,red blue,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-21""}"
7bccd31315d7-22,ISLTranslate,train,,,,,green and yellow circles.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-22""}"
7bccd31315d7-23,ISLTranslate,train,,,,,She also added zigzag lines to these.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-23""}"
7bccd31315d7-25,ISLTranslate,train,,,,,"And now, there were many balloons.",7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-25""}"
7bccd31315d7-27,ISLTranslate,train,,,,,Can you draw something else with a circle? Asked her grandmother.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-27""}"
7bccd31315d7-29,ISLTranslate,train,,,,,Yes. Sad Mohini in excitement. She drew a wheel.,7bccd31315d7,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""7bccd31315d7-29""}"
