assignment_id,video_id,video_sha256,annotator_id,session_id,assigned_at,annotation_status,is_double_annotation,annotation_version,reviewer_id,review_status
asgn_42_006_a,1782bea75c7d-16.mp4,ab72f9c6c5a6211369bc3e230dd1576c1bff130df25910cdf849cefd6932b6fa,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_007_a,1782bea75c7d-17.mp4,4b39be5c0521fb523adb474f89e26ee711f698285818fac67539a6d378c6b048,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_008_a,1782bea75c7d-2.mp4,4fb0a56106e4ccfebd78cccf7f3668cee3ad33bdad6cc43b98959f613f6dc03d,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_009_a,1782bea75c7d-21.mp4,1bbcd4f53223bc2e2709f40bf3bcbad151baf689c474ad8cb46906070c7ee4f9,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_010_a,1782bea75c7d-23.mp4,a6f3c4a27c9d581109e47da65b4ce910904f3848ed707ebf63b3da229dbdac52,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_011_a,1782bea75c7d-24.mp4,5706b5a481afe182e713aaf3fa9c0474562542ab5dba46b70df12ce48543f2db,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_012_a,1782bea75c7d-27.mp4,f875573f3f073a37d137e317b74862402235551ec482e0185684bf226c4afc8b,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_013_a,1782bea75c7d-28.mp4,0a77a5aa1f9695764d5fb1eeee92d139b5e7bdf22ece04bcb0d7a23d6e06f40e,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_014_a,1782bea75c7d-29.mp4,2af8758104e6e229f7495c2ae4cc3e30b58016bdc6289c2b292dbb4fd9b72e2a,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_015_a,1782bea75c7d-4.mp4,6180ed97e0c13659b6e9fa3e764d6c9eb60e3879ff93466867ff8e7d5267f290,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_016_a,1782bea75c7d-5.mp4,a8b51b1101f43b9bbf9314ec89f726dffeba6255e1fad91fd5aa16fa7bb3aa57,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_017_a,1782bea75c7d-6.mp4,af1343d34606a7ed9a960788284049a555a0c7876d15ac74f1597c493488e8de,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_018_a,1782bea75c7d-7.mp4,6a180da970368aa0e71a79b4b0d11536a5f1e22349631be99788dfd27e7a8572,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_019_a,1782bea75c7d-8.mp4,e974160f0d28789fb1187f0b7ead16d2d51140c3c626b56a78f1b353383196e1,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
