sample_id,video_reference,local_status,annotation_valid,char_length,word_count,error_reason
df4bb619957f-1,df4bb619957f-1,REMOTE_ONLY,True,7,2,None
df4bb619957f-2,df4bb619957f-2,REMOTE_ONLY,True,6,2,None
df4bb619957f-3,df4bb619957f-3,REMOTE_ONLY,True,19,5,None
df4bb619957f-4,df4bb619957f-4,REMOTE_ONLY,True,34,6,None
df4bb619957f-5,df4bb619957f-5,REMOTE_ONLY,True,19,5,None
df4bb619957f-6,df4bb619957f-6,REMOTE_ONLY,True,19,5,None
df4bb619957f-7,df4bb619957f-7,REMOTE_ONLY,True,48,12,None
df4bb619957f-9,df4bb619957f-9,REMOTE_ONLY,True,40,7,None
df4bb619957f-10,df4bb619957f-10,REMOTE_ONLY,True,45,11,None
df4bb619957f-11,df4bb619957f-11,REMOTE_ONLY,True,31,6,None
df4bb619957f-12,df4bb619957f-12,REMOTE_ONLY,True,9,2,None
df4bb619957f-13,df4bb619957f-13,REMOTE_ONLY,True,3,1,None
df4bb619957f-14,df4bb619957f-14,REMOTE_ONLY,True,4,1,None
df4bb619957f-15,df4bb619957f-15,REMOTE_ONLY,True,3,1,None
df4bb619957f-16,df4bb619957f-16,REMOTE_ONLY,True,15,3,None
df4bb619957f-17,df4bb619957f-17,REMOTE_ONLY,True,23,6,None
df4bb619957f-18,df4bb619957f-18,REMOTE_ONLY,True,27,6,None
df4bb619957f-19,df4bb619957f-19,REMOTE_ONLY,True,7,2,None
df4bb619957f-20,df4bb619957f-20,REMOTE_ONLY,True,15,3,None
df4bb619957f-21,df4bb619957f-21,REMOTE_ONLY,True,19,4,None
df4bb619957f-22,df4bb619957f-22,REMOTE_ONLY,True,17,4,None
df4bb619957f-23,df4bb619957f-23,REMOTE_ONLY,True,30,7,None
df4bb619957f-24,df4bb619957f-24,REMOTE_ONLY,True,11,2,None
df4bb619957f-25,df4bb619957f-25,REMOTE_ONLY,True,19,4,None
df4bb619957f-26,df4bb619957f-26,REMOTE_ONLY,True,35,7,None
df4bb619957f-27,df4bb619957f-27,REMOTE_ONLY,True,12,2,None
df4bb619957f-28,df4bb619957f-28,REMOTE_ONLY,True,19,4,None
df4bb619957f-29,df4bb619957f-29,REMOTE_ONLY,True,26,7,None
df4bb619957f-30,df4bb619957f-30,REMOTE_ONLY,True,5,1,None
df4bb619957f-31,df4bb619957f-31,REMOTE_ONLY,True,4,1,None
df4bb619957f-32,df4bb619957f-32,REMOTE_ONLY,True,7,2,None
df4bb619957f-33,df4bb619957f-33,REMOTE_ONLY,True,15,5,None
df4bb619957f-34,df4bb619957f-34,REMOTE_ONLY,True,18,4,None
df4bb619957f-35,df4bb619957f-35,REMOTE_ONLY,True,9,2,None
df4bb619957f-36,df4bb619957f-36,REMOTE_ONLY,True,21,4,None
df4bb619957f-37,df4bb619957f-37,REMOTE_ONLY,True,1,1,None
df4bb619957f-38,df4bb619957f-38,REMOTE_ONLY,True,3,2,None
df4bb619957f-39,df4bb619957f-39,REMOTE_ONLY,True,1,1,None
df4bb619957f-40,df4bb619957f-40,REMOTE_ONLY,True,50,9,None
df4bb619957f-41,df4bb619957f-41,REMOTE_ONLY,True,16,3,None
df4bb619957f-43,df4bb619957f-43,REMOTE_ONLY,True,8,2,None
df4bb619957f-44,df4bb619957f-44,REMOTE_ONLY,True,10,2,None
df4bb619957f-45,df4bb619957f-45,REMOTE_ONLY,True,5,1,None
df4bb619957f-46,df4bb619957f-46,REMOTE_ONLY,True,4,1,None
df4bb619957f-47,df4bb619957f-47,REMOTE_ONLY,True,3,1,None
df4bb619957f-48,df4bb619957f-48,REMOTE_ONLY,True,11,2,None
df4bb619957f-49,df4bb619957f-49,REMOTE_ONLY,True,4,1,None
df4bb619957f-51,df4bb619957f-51,REMOTE_ONLY,True,3,1,None
df4bb619957f-52,df4bb619957f-52,REMOTE_ONLY,True,4,1,None
df4bb619957f-53,df4bb619957f-53,REMOTE_ONLY,True,6,1,None
df4bb619957f-54,df4bb619957f-54,REMOTE_ONLY,True,5,1,None
df4bb619957f-55,df4bb619957f-55,REMOTE_ONLY,True,3,1,None
df4bb619957f-56,df4bb619957f-56,REMOTE_ONLY,True,4,1,None
df4bb619957f-57,df4bb619957f-57,REMOTE_ONLY,True,9,2,None
df4bb619957f-58,df4bb619957f-58,REMOTE_ONLY,True,53,9,None
df4bb619957f-59,df4bb619957f-59,REMOTE_ONLY,True,44,9,None
df4bb619957f-60,df4bb619957f-60,REMOTE_ONLY,True,20,4,None
df4bb619957f-61,df4bb619957f-61,REMOTE_ONLY,True,90,18,None
df4bb619957f-62,df4bb619957f-62,REMOTE_ONLY,True,13,3,None
df4bb619957f-63,df4bb619957f-63,REMOTE_ONLY,True,26,6,None
df4bb619957f-64,df4bb619957f-64,REMOTE_ONLY,True,42,9,None
df4bb619957f-65,df4bb619957f-65,REMOTE_ONLY,True,20,4,None
df4bb619957f-66,df4bb619957f-66,REMOTE_ONLY,True,46,9,None
df4bb619957f-67,df4bb619957f-67,REMOTE_ONLY,True,68,12,None
df4bb619957f-68,df4bb619957f-68,REMOTE_ONLY,True,19,4,None
df4bb619957f-69,df4bb619957f-69,REMOTE_ONLY,True,78,17,None
df4bb619957f-70,df4bb619957f-70,REMOTE_ONLY,True,27,6,None
df4bb619957f-71,df4bb619957f-71,REMOTE_ONLY,True,23,5,None
df4bb619957f-72,df4bb619957f-72,REMOTE_ONLY,True,20,5,None
df4bb619957f-74,df4bb619957f-74,REMOTE_ONLY,True,29,5,None
df4bb619957f-75,df4bb619957f-75,REMOTE_ONLY,True,26,6,None
df4bb619957f-76,df4bb619957f-76,REMOTE_ONLY,True,41,8,None
7bccd31315d7-1,7bccd31315d7-1,REMOTE_ONLY,True,15,3,None
7bccd31315d7-2,7bccd31315d7-2,REMOTE_ONLY,True,13,2,None
7bccd31315d7-3,7bccd31315d7-3,REMOTE_ONLY,True,18,4,None
7bccd31315d7-4,7bccd31315d7-4,REMOTE_ONLY,True,40,6,None
7bccd31315d7-6,7bccd31315d7-6,REMOTE_ONLY,True,26,4,None
7bccd31315d7-7,7bccd31315d7-7,REMOTE_ONLY,True,29,6,None
7bccd31315d7-8,7bccd31315d7-8,REMOTE_ONLY,True,11,3,None
7bccd31315d7-9,7bccd31315d7-9,REMOTE_ONLY,True,30,6,None
7bccd31315d7-10,7bccd31315d7-10,REMOTE_ONLY,True,23,6,None
7bccd31315d7-11,7bccd31315d7-11,REMOTE_ONLY,True,43,7,None
7bccd31315d7-12,7bccd31315d7-12,REMOTE_ONLY,True,38,7,None
7bccd31315d7-14,7bccd31315d7-14,REMOTE_ONLY,True,29,6,None
7bccd31315d7-15,7bccd31315d7-15,REMOTE_ONLY,True,30,6,None
7bccd31315d7-16,7bccd31315d7-16,REMOTE_ONLY,True,46,8,None
7bccd31315d7-17,7bccd31315d7-17,REMOTE_ONLY,True,7,2,None
7bccd31315d7-18,7bccd31315d7-18,REMOTE_ONLY,True,60,11,None
7bccd31315d7-19,7bccd31315d7-19,REMOTE_ONLY,True,25,4,None
7bccd31315d7-20,7bccd31315d7-20,REMOTE_ONLY,True,22,4,None
7bccd31315d7-21,7bccd31315d7-21,REMOTE_ONLY,True,8,2,None
7bccd31315d7-22,7bccd31315d7-22,REMOTE_ONLY,True,25,4,None
7bccd31315d7-23,7bccd31315d7-23,REMOTE_ONLY,True,37,7,None
7bccd31315d7-25,7bccd31315d7-25,REMOTE_ONLY,True,34,6,None
7bccd31315d7-27,7bccd31315d7-27,REMOTE_ONLY,True,65,11,None
7bccd31315d7-29,7bccd31315d7-29,REMOTE_ONLY,True,48,9,None
7bccd31315d7-30,7bccd31315d7-30,REMOTE_ONLY,True,6,2,None
7bccd31315d7-31,7bccd31315d7-31,REMOTE_ONLY,True,6,2,None
7bccd31315d7-32,7bccd31315d7-32,REMOTE_ONLY,True,27,6,None
7bccd31315d7-34,7bccd31315d7-34,REMOTE_ONLY,True,25,5,None
7bccd31315d7-36,7bccd31315d7-36,REMOTE_ONLY,True,9,2,None
7bccd31315d7-37,7bccd31315d7-37,REMOTE_ONLY,True,9,2,None
7bccd31315d7-38,7bccd31315d7-38,REMOTE_ONLY,True,12,2,None
7bccd31315d7-39,7bccd31315d7-39,REMOTE_ONLY,True,4,1,None
7bccd31315d7-40,7bccd31315d7-40,REMOTE_ONLY,True,11,2,None
7bccd31315d7-41,7bccd31315d7-41,REMOTE_ONLY,True,20,5,None
7bccd31315d7-42,7bccd31315d7-42,REMOTE_ONLY,True,18,4,None
7bccd31315d7-43,7bccd31315d7-43,REMOTE_ONLY,True,7,2,None
7bccd31315d7-44,7bccd31315d7-44,REMOTE_ONLY,True,15,3,None
7bccd31315d7-45,7bccd31315d7-45,REMOTE_ONLY,True,43,7,None
7bccd31315d7-46,7bccd31315d7-46,REMOTE_ONLY,True,55,10,None
7bccd31315d7-47,7bccd31315d7-47,REMOTE_ONLY,True,11,2,None
7bccd31315d7-48,7bccd31315d7-48,REMOTE_ONLY,True,26,5,None
7bccd31315d7-49,7bccd31315d7-49,REMOTE_ONLY,True,22,3,None
7bccd31315d7-50,7bccd31315d7-50,REMOTE_ONLY,True,17,3,None
7bccd31315d7-51,7bccd31315d7-51,REMOTE_ONLY,True,55,12,None
7bccd31315d7-52,7bccd31315d7-52,REMOTE_ONLY,True,21,4,None
7bccd31315d7-53,7bccd31315d7-53,REMOTE_ONLY,True,8,1,None
7bccd31315d7-54,7bccd31315d7-54,REMOTE_ONLY,True,7,1,None
7bccd31315d7-55,7bccd31315d7-55,REMOTE_ONLY,True,35,5,None
7bccd31315d7-56,7bccd31315d7-56,REMOTE_ONLY,True,4,1,None
7bccd31315d7-57,7bccd31315d7-57,REMOTE_ONLY,True,5,2,None
7bccd31315d7-58,7bccd31315d7-58,REMOTE_ONLY,True,7,2,None
7bccd31315d7-59,7bccd31315d7-59,REMOTE_ONLY,True,6,2,None
7bccd31315d7-60,7bccd31315d7-60,REMOTE_ONLY,True,14,2,None
7bccd31315d7-61,7bccd31315d7-61,REMOTE_ONLY,True,38,9,None
7bccd31315d7-62,7bccd31315d7-62,REMOTE_ONLY,True,18,3,None
7bccd31315d7-63,7bccd31315d7-63,REMOTE_ONLY,True,11,3,None
7bccd31315d7-64,7bccd31315d7-64,REMOTE_ONLY,True,8,2,None
7bccd31315d7-65,7bccd31315d7-65,REMOTE_ONLY,True,20,4,None
7bccd31315d7-66,7bccd31315d7-66,REMOTE_ONLY,True,22,5,None
7bccd31315d7-67,7bccd31315d7-67,REMOTE_ONLY,True,33,7,None
7bccd31315d7-68,7bccd31315d7-68,REMOTE_ONLY,True,64,14,None
7bccd31315d7-69,7bccd31315d7-69,REMOTE_ONLY,True,33,7,None
7bccd31315d7-70,7bccd31315d7-70,REMOTE_ONLY,True,26,6,None
7bccd31315d7-71,7bccd31315d7-71,REMOTE_ONLY,True,76,16,None
7bccd31315d7-73,7bccd31315d7-73,REMOTE_ONLY,True,69,16,None
7bccd31315d7-75,7bccd31315d7-75,REMOTE_ONLY,True,7,2,None
7bccd31315d7-76,7bccd31315d7-76,REMOTE_ONLY,True,21,4,None
7bccd31315d7-77,7bccd31315d7-77,REMOTE_ONLY,True,1,1,None
7bccd31315d7-78,7bccd31315d7-78,REMOTE_ONLY,True,1,1,None
7bccd31315d7-79,7bccd31315d7-79,REMOTE_ONLY,True,10,4,None
7bccd31315d7-80,7bccd31315d7-80,REMOTE_ONLY,True,44,8,None
7bccd31315d7-81,7bccd31315d7-81,REMOTE_ONLY,True,43,7,None
7bccd31315d7-82,7bccd31315d7-82,REMOTE_ONLY,True,1,1,None
7bccd31315d7-84,7bccd31315d7-84,REMOTE_ONLY,True,1,1,None
7bccd31315d7-85,7bccd31315d7-85,REMOTE_ONLY,True,3,2,None
7bccd31315d7-86,7bccd31315d7-86,REMOTE_ONLY,True,1,1,None
7bccd31315d7-87,7bccd31315d7-87,REMOTE_ONLY,True,2,1,None
7bccd31315d7-88,7bccd31315d7-88,REMOTE_ONLY,True,5,2,None
7bccd31315d7-89,7bccd31315d7-89,REMOTE_ONLY,True,4,2,None
7bccd31315d7-90,7bccd31315d7-90,REMOTE_ONLY,True,4,2,None
7bccd31315d7-91,7bccd31315d7-91,REMOTE_ONLY,True,1,1,None
7bccd31315d7-92,7bccd31315d7-92,REMOTE_ONLY,True,51,10,None
7bccd31315d7-93,7bccd31315d7-93,REMOTE_ONLY,True,1,1,None
7bccd31315d7-94,7bccd31315d7-94,REMOTE_ONLY,True,1,1,None
7bccd31315d7-95,7bccd31315d7-95,REMOTE_ONLY,True,1,1,None
7bccd31315d7-96,7bccd31315d7-96,REMOTE_ONLY,True,1,1,None
7bccd31315d7-97,7bccd31315d7-97,REMOTE_ONLY,True,1,1,None
7bccd31315d7-98,7bccd31315d7-98,REMOTE_ONLY,True,14,3,None
7bccd31315d7-99,7bccd31315d7-99,REMOTE_ONLY,True,1,1,None
7bccd31315d7-100,7bccd31315d7-100,REMOTE_ONLY,True,1,1,None
7bccd31315d7-101,7bccd31315d7-101,REMOTE_ONLY,True,1,1,None
7bccd31315d7-102,7bccd31315d7-102,REMOTE_ONLY,True,1,1,None
7bccd31315d7-103,7bccd31315d7-103,REMOTE_ONLY,True,1,1,None
7bccd31315d7-104,7bccd31315d7-104,REMOTE_ONLY,True,2,1,None
7bccd31315d7-105,7bccd31315d7-105,REMOTE_ONLY,True,71,13,None
7bccd31315d7-106,7bccd31315d7-106,REMOTE_ONLY,True,1,1,None
7bccd31315d7-107,7bccd31315d7-107,REMOTE_ONLY,True,1,1,None
7bccd31315d7-108,7bccd31315d7-108,REMOTE_ONLY,True,2,1,None
7bccd31315d7-109,7bccd31315d7-109,REMOTE_ONLY,True,1,1,None
7bccd31315d7-110,7bccd31315d7-110,REMOTE_ONLY,True,1,1,None
7bccd31315d7-111,7bccd31315d7-111,REMOTE_ONLY,True,1,1,None
7bccd31315d7-112,7bccd31315d7-112,REMOTE_ONLY,True,14,3,None
7bccd31315d7-113,7bccd31315d7-113,REMOTE_ONLY,True,10,2,None
7bccd31315d7-114,7bccd31315d7-114,REMOTE_ONLY,True,5,1,None
7bccd31315d7-115,7bccd31315d7-115,REMOTE_ONLY,True,73,14,None
7bccd31315d7-117,7bccd31315d7-117,REMOTE_ONLY,True,1,1,None
7bccd31315d7-118,7bccd31315d7-118,REMOTE_ONLY,True,1,1,None
7bccd31315d7-119,7bccd31315d7-119,REMOTE_ONLY,True,1,1,None
7bccd31315d7-120,7bccd31315d7-120,REMOTE_ONLY,True,1,1,None
7bccd31315d7-121,7bccd31315d7-121,REMOTE_ONLY,True,1,1,None
7bccd31315d7-122,7bccd31315d7-122,REMOTE_ONLY,True,33,7,None
7bccd31315d7-123,7bccd31315d7-123,REMOTE_ONLY,True,16,3,None
7bccd31315d7-124,7bccd31315d7-124,REMOTE_ONLY,True,1,1,None
7bccd31315d7-125,7bccd31315d7-125,REMOTE_ONLY,True,1,1,None
7bccd31315d7-126,7bccd31315d7-126,REMOTE_ONLY,True,1,1,None
7bccd31315d7-127,7bccd31315d7-127,REMOTE_ONLY,True,18,4,None
7bccd31315d7-128,7bccd31315d7-128,REMOTE_ONLY,True,1,1,None
7bccd31315d7-129,7bccd31315d7-129,REMOTE_ONLY,True,3,2,None
7bccd31315d7-130,7bccd31315d7-130,REMOTE_ONLY,True,1,1,None
7bccd31315d7-131,7bccd31315d7-131,REMOTE_ONLY,True,1,1,None
7bccd31315d7-132,7bccd31315d7-132,REMOTE_ONLY,True,9,3,None
7bccd31315d7-133,7bccd31315d7-133,REMOTE_ONLY,True,1,1,None
7bccd31315d7-134,7bccd31315d7-134,REMOTE_ONLY,True,3,2,None
7bccd31315d7-135,7bccd31315d7-135,REMOTE_ONLY,True,1,1,None
7bccd31315d7-136,7bccd31315d7-136,REMOTE_ONLY,True,5,1,None
7bccd31315d7-137,7bccd31315d7-137,REMOTE_ONLY,True,47,10,None
7bccd31315d7-138,7bccd31315d7-138,REMOTE_ONLY,True,34,8,None
7bccd31315d7-139,7bccd31315d7-139,REMOTE_ONLY,True,6,2,None
7bccd31315d7-140,7bccd31315d7-140,REMOTE_ONLY,True,11,2,None
7bccd31315d7-141,7bccd31315d7-141,REMOTE_ONLY,True,6,2,None
7bccd31315d7-142,7bccd31315d7-142,REMOTE_ONLY,True,19,5,None
7bccd31315d7-143,7bccd31315d7-143,REMOTE_ONLY,True,23,5,None
7bccd31315d7-144,7bccd31315d7-144,REMOTE_ONLY,True,1,1,None
7bccd31315d7-145,7bccd31315d7-145,REMOTE_ONLY,True,11,3,None
7bccd31315d7-146,7bccd31315d7-146,REMOTE_ONLY,True,19,4,None
7bccd31315d7-147,7bccd31315d7-147,REMOTE_ONLY,True,36,8,None
7bccd31315d7-148,7bccd31315d7-148,REMOTE_ONLY,True,9,2,None
7bccd31315d7-149,7bccd31315d7-149,REMOTE_ONLY,True,6,2,None
7bccd31315d7-150,7bccd31315d7-150,REMOTE_ONLY,True,16,4,None
7bccd31315d7-151,7bccd31315d7-151,REMOTE_ONLY,True,10,2,None
006faf1f7c93-0,006faf1f7c93-0,REMOTE_ONLY,True,7,2,None
006faf1f7c93-1,006faf1f7c93-1,REMOTE_ONLY,True,6,2,None
006faf1f7c93-2,006faf1f7c93-2,REMOTE_ONLY,True,15,3,None
006faf1f7c93-3,006faf1f7c93-3,REMOTE_ONLY,True,23,4,None
006faf1f7c93-4,006faf1f7c93-4,REMOTE_ONLY,True,33,6,None
006faf1f7c93-5,006faf1f7c93-5,REMOTE_ONLY,True,28,6,None
006faf1f7c93-6,006faf1f7c93-6,REMOTE_ONLY,True,56,14,None
006faf1f7c93-7,006faf1f7c93-7,REMOTE_ONLY,True,67,14,None
006faf1f7c93-8,006faf1f7c93-8,REMOTE_ONLY,True,35,9,None
006faf1f7c93-9,006faf1f7c93-9,REMOTE_ONLY,True,16,3,None
006faf1f7c93-10,006faf1f7c93-10,REMOTE_ONLY,True,37,8,None
006faf1f7c93-12,006faf1f7c93-12,REMOTE_ONLY,True,51,9,None
006faf1f7c93-13,006faf1f7c93-13,REMOTE_ONLY,True,20,4,None
006faf1f7c93-14,006faf1f7c93-14,REMOTE_ONLY,True,31,6,None
006faf1f7c93-15,006faf1f7c93-15,REMOTE_ONLY,True,13,2,None
006faf1f7c93-16,006faf1f7c93-16,REMOTE_ONLY,True,2,1,None
006faf1f7c93-17,006faf1f7c93-17,REMOTE_ONLY,True,8,2,None
006faf1f7c93-18,006faf1f7c93-18,REMOTE_ONLY,True,5,1,None
006faf1f7c93-19,006faf1f7c93-19,REMOTE_ONLY,True,3,1,None
006faf1f7c93-20,006faf1f7c93-20,REMOTE_ONLY,True,23,5,None
006faf1f7c93-21,006faf1f7c93-21,REMOTE_ONLY,True,11,3,None
006faf1f7c93-22,006faf1f7c93-22,REMOTE_ONLY,True,7,2,None
006faf1f7c93-23,006faf1f7c93-23,REMOTE_ONLY,True,15,3,None
006faf1f7c93-24,006faf1f7c93-24,REMOTE_ONLY,True,30,7,None
006faf1f7c93-25,006faf1f7c93-25,REMOTE_ONLY,True,31,7,None
006faf1f7c93-26,006faf1f7c93-26,REMOTE_ONLY,True,11,2,None
006faf1f7c93-27,006faf1f7c93-27,REMOTE_ONLY,True,31,7,None
006faf1f7c93-28,006faf1f7c93-28,REMOTE_ONLY,True,55,13,None
006faf1f7c93-30,006faf1f7c93-30,REMOTE_ONLY,True,12,2,None
006faf1f7c93-31,006faf1f7c93-31,REMOTE_ONLY,True,43,8,None
006faf1f7c93-32,006faf1f7c93-32,REMOTE_ONLY,True,42,9,None
006faf1f7c93-33,006faf1f7c93-33,REMOTE_ONLY,True,66,14,None
006faf1f7c93-35,006faf1f7c93-35,REMOTE_ONLY,True,22,3,None
006faf1f7c93-36,006faf1f7c93-36,REMOTE_ONLY,True,45,8,None
006faf1f7c93-37,006faf1f7c93-37,REMOTE_ONLY,True,7,2,None
006faf1f7c93-38,006faf1f7c93-38,REMOTE_ONLY,True,28,6,None
006faf1f7c93-39,006faf1f7c93-39,REMOTE_ONLY,True,38,7,None
006faf1f7c93-40,006faf1f7c93-40,REMOTE_ONLY,True,74,14,None
006faf1f7c93-42,006faf1f7c93-42,REMOTE_ONLY,True,61,14,None
006faf1f7c93-43,006faf1f7c93-43,REMOTE_ONLY,True,41,8,None
62e79450f3da-1,62e79450f3da-1,REMOTE_ONLY,True,15,3,None
